,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
136,47.2,0.8048937973559142,0.6702730246917636,0.47611987839336567,2.098380907031024,1.2917959247961852,1.2408317149882864,2.2111025933710304
137,47.4,0.8059282822485156,0.6692559311005197,0.47842651467719516,2.0947428815288944,1.2964882449498605,1.2468431158682003,2.2011611085972844
138,47.6,0.8069603121438019,0.6682446613223771,0.48074033794952936,2.091091161872448,1.3011712274636178,1.252873246995845,2.191297447122393
139,47.8,0.8079898838980304,0.667239175069564,0.4830614238114663,2.0874257654703063,1.305844841048047,1.258922305397735,2.181510619762716
140,48.0,0.8090169943749475,0.6662394324925152,0.4853898484044396,2.083746709731146,1.3105090544871112,1.2649904895085715,2.171799653648211
141,48.2,0.810041640445796,0.665245394173697,0.4877256884183178,2.0800540120624817,1.3151638366384,1.2710779991923493,2.162163591882882
142,48.4,0.8110638189893267,0.6642570211215395,0.49006902109951533,2.076347689869727,1.319809156433529,1.2771850357634964,2.1526014932137505
143,48.6,0.8120835268918062,0.6632742747644814,0.4924199242593377,2.072627760554811,1.324444982878377,1.283311802008622,2.143112431707803
144,48.8,0.8131007610470276,0.6622971169451193,0.49477847628231275,2.0688942415152103,1.329071285053461,1.2894585022082288,2.133695496437022
145,49.0,0.8141155183563191,0.6613255099144639,0.49714475613470627,2.0651471501426464,1.3336880321142475,1.2956253421589057,2.1243497911710403
146,49.2,0.8151277957285542,0.6603594163262966,0.49951884337312785,2.0613865038219554,1.3382951932914375,1.3018125291957567,2.1150744340772465
147,49.4,0.8161375900801602,0.6593987992316275,0.5019008181532421,2.0576123199298637,1.3428927378913107,1.308020272215102,2.1058685574282205
148,49.6,0.8171448983351285,0.6584436220732505,0.5042907612385883,2.0538246158338103,1.3474806352960333,1.3142487816974648,2.096731307316225
149,49.8,0.8181497174250234,0.6574938486803945,0.5066887540095658,2.050023408890623,1.3520588549639596,1.3204982697309875,2.0876618433744656
150,50.0,0.8191520442889918,0.6565494432634689,0.5090948784724808,2.046208716445343,1.3566273664299788,1.3267689500350082,2.078659338505116
151,50.2,0.820151875873772,0.6556103704088999,0.5115092172687367,2.042380555829966,1.3611861393057956,1.3330610379840138,2.0697229786138247
